tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
518,2019-01-01T13:34:23Z,2019-01-01T13:43:01Z,3591,21 St & 31 Dr,40.7659,-73.930819,3566,Crescent St & 35 Ave,40.7596276,-73.9321455,17402,Customer,1981,1
680,2019-01-01T13:34:26Z,2019-01-01T13:45:47Z,496,E 16 St & 5 Ave,40.73726186,-73.99238967,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189606,32692,Subscriber,1986,2
385,2019-01-01T13:34:26Z,2019-01-01T13:40:52Z,3709,W 15 St & 6 Ave,40.738046142482766,-73.99642959237099,297,E 15 St & 3 Ave,40.734232,-73.986923,26004,Subscriber,1989,1
136,2019-01-01T13:34:29Z,2019-01-01T13:36:46Z,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3163,Central Park West & W 68 St,40.7734066,-73.97782542,19356,Subscriber,1990,2
823,2019-01-01T13:34:29Z,2019-01-01T13:48:12Z,509,9 Ave & W 22 St,40.7454973,-74.00197139,3258,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,33811,Customer,1969,0
146,2019-01-01T13:34:31Z,2019-01-01T13:36:58Z,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3096,Union Ave & N 12 St,40.71924,-73.95242,18781,Subscriber,1980,1
1823,2019-01-01T13:34:32Z,2019-01-01T14:04:55Z,315,South St & Gouverneur Ln,40.70355377,-74.00670227,358,Christopher St & Greenwich St,40.73291553,-74.00711384,18363,Customer,1995,2
1541,2019-01-01T13:34:32Z,2019-01-01T14:00:13Z,3659,W 17 St & 9 Ave,40.74294891660091,-74.00413691997528,257,Lispenard St & Broadway,40.71939226,-74.00247214,35343,Subscriber,1989,2
491,2019-01-01T13:34:33Z,2019-01-01T13:42:45Z,3312,1 Ave & E 94 St,40.7817212,-73.94594,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,31549,Subscriber,1978,1
332,2019-01-01T13:34:35Z,2019-01-01T13:40:08Z,3591,21 St & 31 Dr,40.7659,-73.930819,3564,21 St & 36 Ave,40.7601853,-73.9362726,19157,Subscriber,1981,2
804,2019-01-01T13:34:37Z,2019-01-01T13:48:02Z,509,9 Ave & W 22 St,40.7454973,-74.00197139,3258,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,31643,Customer,1969,0
1017,2019-01-01T13:34:39Z,2019-01-01T13:51:36Z,376,John St & William St,40.70862144,-74.00722156,303,Mercer St & Spring St,40.72362738,-73.99949601,19577,Subscriber,1988,1
